neighbourhood_group,room_type,price,minimum_nights,availability_365
Bronx,Private room,40,1,353
Bronx,Private room,45,1,323
Bronx,Private room,90,2,349
Bronx,Entire home/apt,105,2,365
Bronx,Entire home/apt,90,30,346
Bronx,Entire home/apt,77,1,309
Bronx,Private room,37,4,232
Bronx,Entire home/apt,125,2,347
Bronx,Private room,50,3,276
Bronx,Private room,50,5,271
Bronx,Private room,42,2,302
Bronx,Private room,50,2,337
Bronx,Entire home/apt,120,2,318
Bronx,Private room,49,1,333
Bronx,Entire home/apt,100,5,63
Bronx,Private room,35,7,90
Bronx,Private room,45,3,329
Bronx,Entire home/apt,250,3,339
Bronx,Private room,39,2,306
Bronx,Entire home/apt,49,2,238
Bronx,Private room,38,1,241
Bronx,Private room,60,3,1
Bronx,Entire home/apt,60,1,311
Bronx,Private room,30,2,208
Bronx,Entire home/apt,84,3,0
Bronx,Private room,85,2,363
Bronx,Private room,65,2,307
Bronx,Private room,60,2,213
Bronx,Private room,90,3,353
Bronx,Private room,60,21,178
Bronx,Private room,50,1,311
Bronx,Private room,45,3,249
Bronx,Private room,43,2,338
Bronx,Private room,75,2,363
Bronx,Entire home/apt,195,5,0
Bronx,Entire home/apt,120,3,16
Bronx,Entire home/apt,140,30,365
Bronx,Private room,53,2,263
Bronx,Entire home/apt,80,1,0
Bronx,Private room,65,4,7
Bronx,Private room,75,2,365
Bronx,Entire home/apt,250,7,338
Bronx,Shared room,32,2,83
Bronx,Private room,50,2,156
Bronx,Private room,70,6,313
Bronx,Private room,41,2,0
Bronx,Private room,80,3,365
Bronx,Private room,40,3,292
Bronx,Private room,71,4,45
Bronx,Shared room,55,7,365
Bronx,Entire home/apt,120,4,0
Bronx,Private room,44,2,70
Bronx,Private room,50,1,188
Bronx,Entire home/apt,95,3,358
Bronx,Private room,75,5,300
Bronx,Entire home/apt,75,2,253
Bronx,Private room,49,2,240
Bronx,Private room,47,2,172
Bronx,Private room,55,1,16
Bronx,Private room,79,2,0
Bronx,Private room,105,1,365
Bronx,Entire home/apt,87,6,0
Bronx,Private room,50,7,0
Bronx,Private room,40,3,343
Bronx,Private room,55,1,19
Bronx,Private room,53,1,44
Bronx,Entire home/apt,95,14,0
Bronx,Private room,100,3,207
Bronx,Private room,45,5,0
Bronx,Entire home/apt,155,1,332
Bronx,Private room,75,2,349
Bronx,Private room,50,1,261
Bronx,Private room,47,2,71
Bronx,Entire home/apt,90,30,358
Bronx,Private room,75,2,364
Bronx,Private room,68,2,365
Bronx,Private room,51,4,212
Bronx,Entire home/apt,110,2,0
Bronx,Shared room,45,1,365
Bronx,Private room,37,2,305
Bronx,Private room,49,2,227
Bronx,Entire home/apt,105,30,52
Bronx,Private room,57,3,311
Bronx,Private room,47,2,262
Bronx,Private room,25,30,219
Bronx,Private room,55,28,338
Bronx,Private room,85,1,342
Bronx,Entire home/apt,145,5,0
Bronx,Private room,60,1,355
Bronx,Entire home/apt,110,1,325
Bronx,Private room,43,28,336
Bronx,Private room,40,14,322
Bronx,Entire home/apt,155,2,348
Bronx,Entire home/apt,250,1,357
Bronx,Private room,50,1,0
Bronx,Entire home/apt,450,2,342
Bronx,Private room,38,3,0
Bronx,Private room,57,2,82
Bronx,Entire home/apt,150,4,346
Bronx,Private room,42,2,0
Bronx,Private room,30,3,0
Bronx,Private room,45,14,325
Bronx,Private room,80,1,255
Bronx,Entire home/apt,63,5,235
Bronx,Private room,65,5,150
Bronx,Entire home/apt,110,2,283
Bronx,Private room,56,2,52
Bronx,Entire home/apt,125,2,342
Bronx,Entire home/apt,119,4,223
Bronx,Entire home/apt,105,2,365
Bronx,Entire home/apt,65,4,210
Bronx,Entire home/apt,115,1,364
Bronx,Private room,680,1,0
Bronx,Private room,99,1,0
Bronx,Private room,33,7,0
Bronx,Entire home/apt,159,3,112
Bronx,Entire home/apt,100,2,284
Bronx,Private room,50,3,316
Bronx,Private room,75,1,0
Bronx,Entire home/apt,120,1,345
Bronx,Private room,40,30,333
Bronx,Private room,40,30,343
Bronx,Entire home/apt,110,1,0
Bronx,Private room,95,1,0
Bronx,Private room,40,30,287
Bronx,Private room,37,30,333
Bronx,Private room,59,3,290
Bronx,Private room,62,2,320
Bronx,Shared room,45,1,318
Bronx,Entire home/apt,90,2,299
Bronx,Private room,107,1,173
Bronx,Entire home/apt,325,2,153
Bronx,Private room,79,1,179
Bronx,Private room,65,5,123
Bronx,Private room,63,4,0
Bronx,Shared room,150,1,364
Bronx,Private room,65,1,0
Bronx,Private room,59,4,0
Bronx,Private room,28,2,108
Bronx,Entire home/apt,100,2,324
Bronx,Entire home/apt,225,1,0
Bronx,Private room,65,1,0
Bronx,Private room,33,2,282
Bronx,Private room,60,3,363
Bronx,Private room,38,1,267
Bronx,Private room,95,2,173
Bronx,Entire home/apt,110,2,162
Bronx,Private room,47,2,353
Bronx,Entire home/apt,159,1,0
Bronx,Private room,75,1,354
Bronx,Entire home/apt,139,3,357
Bronx,Private room,65,3,356
Bronx,Entire home/apt,189,1,354
Bronx,Private room,70,7,0
Bronx,Private room,85,7,364
Bronx,Private room,34,5,313
Bronx,Entire home/apt,85,1,0
Bronx,Entire home/apt,87,1,211
Bronx,Private room,64,3,1
Bronx,Private room,51,2,364
Bronx,Entire home/apt,80,7,0
Bronx,Private room,35,3,0
Bronx,Entire home/apt,37,5,0
Bronx,Entire home/apt,88,1,170
Bronx,Entire home/apt,85,20,277
Bronx,Private room,70,1,0
Bronx,Private room,35,1,11
Bronx,Entire home/apt,109,3,58
Bronx,Entire home/apt,99,3,311
Bronx,Entire home/apt,95,3,144
Bronx,Entire home/apt,90,2,319
Bronx,Entire home/apt,85,2,304
Bronx,Entire home/apt,89,1,104
Bronx,Private room,100,2,0
Bronx,Private room,45,6,0
Bronx,Private room,40,2,276
Bronx,Entire home/apt,79,186,365
Bronx,Private room,49,6,340
Bronx,Private room,35,30,155
Bronx,Entire home/apt,150,5,37
Bronx,Entire home/apt,95,1,16
Bronx,Private room,45,2,0
Bronx,Entire home/apt,110,1,0
Bronx,Private room,60,2,336
Bronx,Entire home/apt,80,1,0
Bronx,Private room,26,3,127
Bronx,Entire home/apt,150,2,267
Bronx,Private room,500,10,358
Bronx,Entire home/apt,125,3,185
Bronx,Private room,60,2,249
Bronx,Private room,55,2,280
Bronx,Private room,60,2,171
Bronx,Private room,59,1,336
Bronx,Entire home/apt,450,2,342
Bronx,Private room,75,2,150
Bronx,Entire home/apt,85,5,0
Bronx,Entire home/apt,104,2,86
Bronx,Entire home/apt,99,3,2
Bronx,Private room,40,1,338
Bronx,Entire home/apt,75,2,265
Bronx,Entire home/apt,175,1,0
Bronx,Private room,49,1,348
Bronx,Shared room,51,3,89
Bronx,Private room,34,1,0
Bronx,Shared room,130,1,365
Bronx,Entire home/apt,57,90,68
Bronx,Entire home/apt,67,3,140
Bronx,Entire home/apt,68,1,0
Bronx,Entire home/apt,95,5,0
Bronx,Entire home/apt,500,2,345
Bronx,Entire home/apt,139,2,131
Bronx,Private room,49,2,148
Bronx,Private room,41,2,146
Bronx,Private room,41,7,68
Bronx,Entire home/apt,89,1,303
Bronx,Private room,40,21,266
Bronx,Entire home/apt,75,1,0
Bronx,Entire home/apt,110,90,77
Bronx,Private room,33,2,145
Bronx,Private room,45,2,156
Bronx,Entire home/apt,99,1,264
Bronx,Private room,30,1,0
Bronx,Entire home/apt,350,7,14
Bronx,Entire home/apt,120,1,0
Bronx,Private room,50,2,0
Bronx,Entire home/apt,85,2,299
Bronx,Entire home/apt,65,1,0
Bronx,Private room,42,2,0
Bronx,Entire home/apt,71,2,34
Bronx,Private room,82,4,0
Bronx,Private room,50,1,280
Bronx,Private room,52,3,0
Bronx,Private room,22,3,42
Bronx,Entire home/apt,120,10,327
Bronx,Private room,50,2,26
Bronx,Private room,60,1,364
Bronx,Entire home/apt,425,5,363
Bronx,Entire home/apt,76,7,34
Bronx,Private room,75,2,350
Bronx,Entire home/apt,175,2,36
Bronx,Entire home/apt,110,3,42
Bronx,Private room,38,15,24
Bronx,Private room,80,2,220
Bronx,Private room,59,2,0
Bronx,Private room,30,2,38
Bronx,Private room,49,3,0
Bronx,Private room,85,2,0
Bronx,Entire home/apt,299,2,358
Bronx,Private room,43,4,88
Bronx,Entire home/apt,159,1,89
Bronx,Entire home/apt,76,7,0
Bronx,Private room,40,3,179
Bronx,Private room,77,2,0
Bronx,Private room,68,1,87
Bronx,Private room,40,5,328
Bronx,Private room,35,1,0
Bronx,Private room,50,3,342
Bronx,Private room,59,14,340
Bronx,Entire home/apt,100,2,83
Bronx,Private room,60,3,363
Bronx,Entire home/apt,120,2,260
Bronx,Private room,35,1,34
Bronx,Entire home/apt,75,4,26
Bronx,Entire home/apt,79,3,5
Bronx,Private room,80,2,365
Bronx,Entire home/apt,105,3,278
Bronx,Private room,40,1,0
Bronx,Private room,55,1,64
Bronx,Private room,55,2,364
Bronx,Private room,75,1,365
Bronx,Private room,45,5,318
Bronx,Private room,68,2,39
Bronx,Entire home/apt,86,2,171
Bronx,Private room,80,30,365
Bronx,Private room,79,3,69
Bronx,Private room,60,2,364
Bronx,Private room,30,4,0
Bronx,Private room,125,1,0
Bronx,Entire home/apt,125,7,89
Bronx,Entire home/apt,47,26,37
Bronx,Private room,58,3,75
Bronx,Private room,55,3,84
Bronx,Private room,45,14,332
Bronx,Private room,60,2,169
Bronx,Private room,50,2,110
Bronx,Private room,50,3,22
Bronx,Private room,40,1,0
Bronx,Entire home/apt,135,6,250
Bronx,Entire home/apt,110,7,40
Bronx,Entire home/apt,115,5,7
Bronx,Private room,100,6,365
Bronx,Private room,46,4,135
Bronx,Entire home/apt,130,5,89
Bronx,Entire home/apt,150,4,93
Bronx,Entire home/apt,60,90,94
Bronx,Entire home/apt,71,90,310
Bronx,Entire home/apt,80,7,0
Bronx,Entire home/apt,60,2,131
Bronx,Private room,73,3,138
Bronx,Private room,43,3,365
Bronx,Private room,79,3,78
Bronx,Private room,60,3,83
Bronx,Entire home/apt,84,3,63
Bronx,Private room,45,5,174
Bronx,Private room,34,3,126
Bronx,Private room,79,3,68
Bronx,Private room,60,3,65
Bronx,Entire home/apt,119,3,146
Bronx,Private room,35,1,3
Bronx,Entire home/apt,89,2,252
Bronx,Private room,40,1,239
Bronx,Private room,75,1,134
Bronx,Shared room,20,1,5
Bronx,Private room,45,22,186
Bronx,Entire home/apt,130,2,36
Bronx,Private room,79,3,71
Bronx,Private room,125,1,0
Bronx,Private room,43,20,104
Bronx,Entire home/apt,80,4,0
Bronx,Entire home/apt,99,3,86
Bronx,Private room,47,2,339
Bronx,Entire home/apt,105,2,87
Bronx,Shared room,60,2,365
Bronx,Entire home/apt,150,1,179
Bronx,Shared room,165,2,15
Bronx,Private room,42,5,314
Bronx,Private room,42,5,23
Bronx,Private room,75,1,348
Bronx,Entire home/apt,145,2,139
Bronx,Private room,29,4,0
Bronx,Private room,41,5,334
Bronx,Private room,70,3,365
Bronx,Private room,75,3,87
Bronx,Entire home/apt,60,5,0
Bronx,Private room,75,1,129
Bronx,Private room,38,2,327
Bronx,Private room,53,3,80
Bronx,Private room,60,2,30
Bronx,Private room,45,2,34
Bronx,Private room,33,1,179
Bronx,Private room,50,1,0
Bronx,Private room,42,4,147
Bronx,Private room,43,2,59
Bronx,Private room,100,2,344
Bronx,Private room,65,4,365
Bronx,Entire home/apt,199,2,286
Bronx,Private room,40,2,44
Bronx,Private room,80,2,338
Bronx,Private room,40,4,171
Bronx,Private room,50,365,363
Bronx,Private room,60,1,0
Bronx,Private room,45,2,324
Bronx,Private room,60,1,0
Bronx,Private room,60,1,360
Bronx,Private room,65,1,0
Bronx,Private room,55,2,271
Bronx,Private room,49,3,0
Bronx,Private room,70,1,0
Bronx,Entire home/apt,75,4,119
Bronx,Entire home/apt,48,90,93
Bronx,Private room,55,5,364
Bronx,Entire home/apt,95,1,345
Bronx,Private room,60,3,81
Bronx,Private room,60,1,0
Bronx,Private room,40,3,365
Bronx,Entire home/apt,350,3,0
Bronx,Entire home/apt,28,1,0
Bronx,Entire home/apt,100,7,180
Bronx,Entire home/apt,100,3,0
Bronx,Private room,60,3,66
Bronx,Private room,70,1,87
Bronx,Private room,60,5,175
Bronx,Private room,40,3,362
Bronx,Private room,37,30,329
Bronx,Entire home/apt,120,2,77
Bronx,Private room,50,1,328
Bronx,Entire home/apt,85,3,0
Bronx,Entire home/apt,127,90,250
Bronx,Private room,62,1,175
Bronx,Private room,75,2,364
Bronx,Private room,29,2,0
Bronx,Entire home/apt,140,2,0
Bronx,Entire home/apt,100,5,14
Bronx,Private room,39,1,39
Bronx,Shared room,70,2,0
Bronx,Private room,2500,2,179
Bronx,Entire home/apt,58,3,42
Bronx,Private room,50,1,363
Bronx,Entire home/apt,85,2,168
Bronx,Private room,35,3,76
Bronx,Private room,80,1,88
Bronx,Private room,75,2,246
Bronx,Shared room,110,1,0
Bronx,Private room,65,3,0
Bronx,Private room,80,1,358
Bronx,Entire home/apt,72,90,223
Bronx,Private room,45,1,54
Bronx,Entire home/apt,250,2,289
Bronx,Shared room,26,1,342
Bronx,Private room,65,2,325
Bronx,Private room,29,1,137
Bronx,Private room,40,1,51
Bronx,Private room,75,2,358
Bronx,Private room,35,1,284
Bronx,Entire home/apt,72,2,129
Bronx,Private room,45,3,325
Bronx,Private room,45,2,280
Bronx,Private room,119,3,0
Bronx,Entire home/apt,155,3,285
Bronx,Private room,600,2,269
Bronx,Shared room,800,2,269
Bronx,Private room,0,2,127
Bronx,Entire home/apt,70,2,129
Bronx,Private room,55,2,171
Bronx,Entire home/apt,58,5,0
Bronx,Private room,70,4,77
Bronx,Entire home/apt,100,2,10
Bronx,Entire home/apt,69,2,193
Bronx,Entire home/apt,105,1,6
Bronx,Entire home/apt,175,1,0
Bronx,Entire home/apt,100,2,26
Bronx,Private room,50,1,148
Bronx,Shared room,60,1,0
Bronx,Private room,35,2,156
Bronx,Entire home/apt,450,2,342
Bronx,Entire home/apt,80,2,56
Bronx,Private room,65,2,0
Bronx,Private room,55,1,0
Bronx,Private room,50,2,118
Bronx,Private room,62,2,351
Bronx,Private room,55,1,318
Bronx,Private room,42,2,311
Bronx,Private room,42,2,1
Bronx,Shared room,55,1,0
Bronx,Private room,40,3,156
Bronx,Shared room,45,1,0
Bronx,Private room,45,3,365
Bronx,Private room,60,4,179
Bronx,Private room,35,7,50
Bronx,Private room,59,1,35
Bronx,Private room,55,1,46
Bronx,Entire home/apt,79,2,225
Bronx,Entire home/apt,140,2,291
Bronx,Private room,60,1,0
Bronx,Entire home/apt,120,2,0
Bronx,Entire home/apt,65,3,0
Bronx,Private room,60,1,283
Bronx,Private room,42,2,62
Bronx,Private room,30,3,361
Bronx,Entire home/apt,40,2,35
Bronx,Entire home/apt,115,2,130
Bronx,Private room,40,30,148
Bronx,Private room,28,3,214
Bronx,Private room,300,2,0
Bronx,Private room,25,3,119
Bronx,Private room,35,3,357
Bronx,Private room,77,2,5
Bronx,Private room,29,3,322
Bronx,Entire home/apt,149,3,146
Bronx,Private room,80,1,88
Bronx,Private room,29,4,360
Bronx,Private room,49,2,184
