neighbourhood_group,room_type,price,minimum_nights,availability_365
Brooklyn,Private room,149,1,365
Brooklyn,Entire home/apt,89,1,194
Brooklyn,Private room,60,45,0
Brooklyn,Private room,89,4,314
Brooklyn,Entire home/apt,140,2,46
Brooklyn,Entire home/apt,215,2,321
Brooklyn,Entire home/apt,99,3,21
Brooklyn,Entire home/apt,299,3,0
Brooklyn,Private room,130,2,347
Brooklyn,Private room,80,1,364
Brooklyn,Private room,110,2,304
Brooklyn,Entire home/apt,120,2,233
Brooklyn,Private room,60,1,85
Brooklyn,Private room,55,4,284
Brooklyn,Private room,70,1,269
Brooklyn,Private room,89,4,340
Brooklyn,Private room,35,60,365
Brooklyn,Entire home/apt,85,2,22
Brooklyn,Private room,150,1,365
Brooklyn,Entire home/apt,120,3,345
Brooklyn,Private room,120,7,311
Brooklyn,Entire home/apt,150,29,95
Brooklyn,Entire home/apt,110,7,265
Brooklyn,Entire home/apt,115,3,0
Brooklyn,Private room,80,3,192
Brooklyn,Private room,80,1,251
Brooklyn,Entire home/apt,228,3,140
Brooklyn,Entire home/apt,144,2,234
Brooklyn,Entire home/apt,150,30,30
Brooklyn,Private room,49,4,320
Brooklyn,Private room,80,2,263
Brooklyn,Entire home/apt,200,30,297
Brooklyn,Private room,55,7,292
Brooklyn,Entire home/apt,225,3,0
Brooklyn,Entire home/apt,275,1,362
Brooklyn,Private room,105,2,304
Brooklyn,Private room,95,3,132
Brooklyn,Private room,145,3,238
Brooklyn,Entire home/apt,130,6,38
Brooklyn,Entire home/apt,800,1,7
Brooklyn,Entire home/apt,105,3,272
Brooklyn,Private room,85,3,288
Brooklyn,Private room,65,4,317
Brooklyn,Entire home/apt,131,4,207
Brooklyn,Private room,98,7,185
Brooklyn,Entire home/apt,250,7,158
Brooklyn,Entire home/apt,100,5,0
Brooklyn,Entire home/apt,105,3,9
Brooklyn,Entire home/apt,125,7,311
Brooklyn,Entire home/apt,175,2,342
Brooklyn,Private room,101,3,152
Brooklyn,Entire home/apt,220,30,9
Brooklyn,Entire home/apt,125,90,137
Brooklyn,Entire home/apt,80,30,222
Brooklyn,Entire home/apt,200,30,208
Brooklyn,Private room,125,2,250
Brooklyn,Entire home/apt,120,30,192
Brooklyn,Entire home/apt,325,3,107
Brooklyn,Private room,99,2,20
Brooklyn,Entire home/apt,400,2,216
Brooklyn,Private room,75,2,324
Brooklyn,Private room,90,1,245
Brooklyn,Private room,70,3,310
Brooklyn,Private room,89,3,278
Brooklyn,Private room,50,3,0
Brooklyn,Private room,77,2,178
Brooklyn,Private room,76,2,275
Brooklyn,Entire home/apt,125,3,163
Brooklyn,Private room,135,4,365
Brooklyn,Entire home/apt,250,29,34
Brooklyn,Entire home/apt,199,3,280
Brooklyn,Entire home/apt,140,2,0
Brooklyn,Entire home/apt,115,3,170
Brooklyn,Entire home/apt,160,3,188
Brooklyn,Entire home/apt,195,4,214
Brooklyn,Private room,80,3,262
Brooklyn,Private room,44,8,280
Brooklyn,Private room,85,15,339
Brooklyn,Private room,125,3,1
Brooklyn,Entire home/apt,115,15,269
Brooklyn,Entire home/apt,125,6,189
Brooklyn,Entire home/apt,475,3,230
Brooklyn,Private room,69,4,53
Brooklyn,Entire home/apt,135,2,3
Brooklyn,Private room,250,3,189
Brooklyn,Entire home/apt,250,2,0
Brooklyn,Private room,70,2,336
Brooklyn,Entire home/apt,165,2,342
Brooklyn,Private room,50,2,37
Brooklyn,Entire home/apt,150,2,177
Brooklyn,Private room,110,2,321
Brooklyn,Private room,65,2,0
Brooklyn,Entire home/apt,200,4,1
Brooklyn,Entire home/apt,150,5,18
Brooklyn,Private room,90,3,343
Brooklyn,Private room,120,3,250
Brooklyn,Entire home/apt,175,26,364
Brooklyn,Entire home/apt,135,5,162
Brooklyn,Private room,80,2,0
Brooklyn,Entire home/apt,249,2,164
Brooklyn,Private room,100,2,250
Brooklyn,Entire home/apt,140,2,125
Brooklyn,Private room,71,2,91
Brooklyn,Private room,69,4,60
Brooklyn,Private room,68,3,0
Brooklyn,Entire home/apt,195,2,58
Brooklyn,Entire home/apt,159,2,279
Brooklyn,Private room,135,2,272
Brooklyn,Entire home/apt,135,2,12
Brooklyn,Entire home/apt,65,3,2
Brooklyn,Entire home/apt,99,3,68
Brooklyn,Entire home/apt,285,3,279
Brooklyn,Private room,59,2,15
Brooklyn,Private room,39,1,365
Brooklyn,Private room,60,14,0
Brooklyn,Entire home/apt,135,2,11
Brooklyn,Private room,70,3,281
Brooklyn,Private room,60,17,362
Brooklyn,Private room,100,3,301
Brooklyn,Private room,70,4,189
Brooklyn,Private room,110,6,0
Brooklyn,Private room,60,2,287
Brooklyn,Private room,75,5,68
Brooklyn,Private room,60,3,0
Brooklyn,Entire home/apt,130,10,152
Brooklyn,Entire home/apt,95,4,46
Brooklyn,Entire home/apt,175,2,246
Brooklyn,Entire home/apt,190,3,288
Brooklyn,Private room,49,21,331
Brooklyn,Entire home/apt,140,2,254
Brooklyn,Entire home/apt,150,2,263
Brooklyn,Entire home/apt,190,3,258
Brooklyn,Entire home/apt,135,30,42
Brooklyn,Entire home/apt,145,3,72
Brooklyn,Entire home/apt,250,2,272
Brooklyn,Private room,125,3,325
Brooklyn,Private room,70,5,203
Brooklyn,Entire home/apt,229,1,188
Brooklyn,Private room,59,3,15
Brooklyn,Entire home/apt,195,4,71
Brooklyn,Entire home/apt,169,1,215
Brooklyn,Private room,55,2,0
Brooklyn,Private room,69,2,8
Brooklyn,Entire home/apt,169,2,182
Brooklyn,Private room,179,3,79
Brooklyn,Entire home/apt,135,4,0
Brooklyn,Entire home/apt,350,6,156
Brooklyn,Private room,120,14,343
Brooklyn,Private room,349,3,60
Brooklyn,Private room,349,3,60
Brooklyn,Entire home/apt,165,30,189
Brooklyn,Private room,249,3,60
Brooklyn,Private room,100,3,0
Brooklyn,Entire home/apt,200,3,106
Brooklyn,Entire home/apt,185,3,248
Brooklyn,Entire home/apt,65,2,194
Brooklyn,Entire home/apt,130,35,135
Brooklyn,Entire home/apt,199,30,30
Brooklyn,Private room,179,3,81
Brooklyn,Entire home/apt,150,5,0
Brooklyn,Entire home/apt,79,15,179
Brooklyn,Entire home/apt,650,5,365
Brooklyn,Entire home/apt,90,3,324
Brooklyn,Entire home/apt,120,2,237
Brooklyn,Entire home/apt,100,90,365
Brooklyn,Entire home/apt,175,2,204
Brooklyn,Entire home/apt,120,5,272
Brooklyn,Entire home/apt,140,7,0
Brooklyn,Entire home/apt,200,5,9
Brooklyn,Private room,165,4,365
Brooklyn,Entire home/apt,123,30,189
Brooklyn,Entire home/apt,130,7,35
Brooklyn,Private room,100,3,0
Brooklyn,Entire home/apt,190,3,359
Brooklyn,Private room,599,3,60
Brooklyn,Entire home/apt,100,30,282
Brooklyn,Entire home/apt,135,2,102
Brooklyn,Entire home/apt,175,3,274
Brooklyn,Entire home/apt,165,7,157
Brooklyn,Private room,95,2,331
Brooklyn,Private room,55,2,275
Brooklyn,Entire home/apt,199,14,223
Brooklyn,Entire home/apt,80,3,315
Brooklyn,Entire home/apt,150,30,281
Brooklyn,Entire home/apt,110,4,283
Brooklyn,Entire home/apt,190,4,331
Brooklyn,Entire home/apt,200,2,36
Brooklyn,Entire home/apt,165,2,7
Brooklyn,Private room,99,2,307
Brooklyn,Private room,39,1,365
Brooklyn,Entire home/apt,260,30,316
Brooklyn,Entire home/apt,165,2,139
Brooklyn,Entire home/apt,125,2,0
Brooklyn,Entire home/apt,225,10,52
Brooklyn,Private room,50,2,136
Brooklyn,Entire home/apt,170,3,286
Brooklyn,Entire home/apt,250,7,18
Brooklyn,Entire home/apt,141,5,9
Brooklyn,Entire home/apt,64,20,3
Brooklyn,Entire home/apt,249,3,277
Brooklyn,Private room,79,2,0
Brooklyn,Entire home/apt,120,3,221
Brooklyn,Entire home/apt,495,1,355
Brooklyn,Entire home/apt,145,7,0
Brooklyn,Entire home/apt,250,4,188
Brooklyn,Entire home/apt,451,2,331
Brooklyn,Private room,98,2,0
Brooklyn,Entire home/apt,150,2,8
Brooklyn,Entire home/apt,125,2,22
Brooklyn,Entire home/apt,255,45,89
Brooklyn,Entire home/apt,72,31,164
Brooklyn,Private room,165,1,311
Brooklyn,Entire home/apt,165,5,23
Brooklyn,Private room,75,3,365
Brooklyn,Entire home/apt,130,5,0
Brooklyn,Entire home/apt,139,2,222
Brooklyn,Private room,88,1,238
Brooklyn,Private room,80,1,218
Brooklyn,Private room,90,6,0
Brooklyn,Entire home/apt,450,5,15
Brooklyn,Entire home/apt,130,2,119
Brooklyn,Private room,89,3,0
Brooklyn,Private room,46,4,350
Brooklyn,Entire home/apt,500,7,0
Brooklyn,Private room,60,3,0
Brooklyn,Entire home/apt,350,5,0
Brooklyn,Entire home/apt,219,5,0
Brooklyn,Private room,60,1,258
Brooklyn,Entire home/apt,105,28,167
Brooklyn,Entire home/apt,75,2,0
Brooklyn,Entire home/apt,85,2,15
Brooklyn,Entire home/apt,106,7,0
Brooklyn,Private room,85,2,161
Brooklyn,Private room,91,3,287
Brooklyn,Entire home/apt,150,2,0
Brooklyn,Entire home/apt,97,3,193
Brooklyn,Entire home/apt,179,4,25
Brooklyn,Entire home/apt,500,2,127
Brooklyn,Private room,70,2,37
Brooklyn,Private room,75,4,0
Brooklyn,Entire home/apt,99,2,287
Brooklyn,Entire home/apt,350,6,233
Brooklyn,Entire home/apt,170,3,129
Brooklyn,Entire home/apt,169,3,297
Brooklyn,Entire home/apt,99,4,56
Brooklyn,Entire home/apt,160,3,355
Brooklyn,Entire home/apt,215,3,156
Brooklyn,Entire home/apt,130,3,273
Brooklyn,Private room,65,30,276
Brooklyn,Private room,43,1,43
Brooklyn,Private room,42,1,96
Brooklyn,Private room,85,1,59
Brooklyn,Entire home/apt,139,3,255
Brooklyn,Private room,105,1,252
Brooklyn,Entire home/apt,265,5,0
Brooklyn,Entire home/apt,99,3,304
Brooklyn,Private room,100,2,254
Brooklyn,Entire home/apt,190,4,328
Brooklyn,Private room,67,4,0
Brooklyn,Entire home/apt,248,2,199
Brooklyn,Private room,100,6,249
Brooklyn,Entire home/apt,145,3,287
Brooklyn,Private room,41,2,286
Brooklyn,Entire home/apt,120,4,263
Brooklyn,Entire home/apt,157,2,0
Brooklyn,Entire home/apt,195,14,263
Brooklyn,Entire home/apt,70,4,90
Brooklyn,Entire home/apt,185,3,0
Brooklyn,Entire home/apt,145,3,11
Brooklyn,Entire home/apt,185,3,1
Brooklyn,Entire home/apt,100,7,0
Brooklyn,Private room,40,1,5
Brooklyn,Private room,79,3,192
Brooklyn,Entire home/apt,100,30,241
Brooklyn,Entire home/apt,110,1,183
Brooklyn,Entire home/apt,172,4,189
Brooklyn,Private room,75,3,0
Brooklyn,Entire home/apt,116,29,335
Brooklyn,Private room,120,2,342
Brooklyn,Entire home/apt,150,5,363
Brooklyn,Entire home/apt,230,4,0
Brooklyn,Private room,79,3,264
Brooklyn,Private room,130,3,305
Brooklyn,Private room,239,1,356
Brooklyn,Entire home/apt,220,3,135
Brooklyn,Entire home/apt,80,3,308
Brooklyn,Entire home/apt,135,4,273
Brooklyn,Entire home/apt,100,7,321
Brooklyn,Entire home/apt,200,5,0
Brooklyn,Entire home/apt,80,2,36
Brooklyn,Entire home/apt,110,3,231
Brooklyn,Entire home/apt,300,1,0
Brooklyn,Entire home/apt,180,2,248
Brooklyn,Entire home/apt,350,5,67
Brooklyn,Private room,85,5,69
Brooklyn,Entire home/apt,80,21,0
Brooklyn,Private room,55,1,293
Brooklyn,Private room,438,1,363
Brooklyn,Entire home/apt,110,6,4
Brooklyn,Private room,279,1,362
Brooklyn,Entire home/apt,137,1,0
Brooklyn,Entire home/apt,280,3,365
Brooklyn,Entire home/apt,199,30,102
Brooklyn,Entire home/apt,180,2,280
Brooklyn,Private room,85,3,281
Brooklyn,Entire home/apt,199,3,60
Brooklyn,Private room,100,1,281
Brooklyn,Entire home/apt,295,5,0
Brooklyn,Private room,150,3,0
Brooklyn,Private room,129,2,303
Brooklyn,Entire home/apt,96,120,204
Brooklyn,Entire home/apt,199,3,60
Brooklyn,Entire home/apt,199,3,84
Brooklyn,Entire home/apt,199,3,60
Brooklyn,Private room,69,1,303
Brooklyn,Entire home/apt,199,3,60
Brooklyn,Entire home/apt,199,3,60
Brooklyn,Entire home/apt,199,3,60
Brooklyn,Entire home/apt,199,3,56
Brooklyn,Entire home/apt,199,3,84
Brooklyn,Private room,349,3,58
Brooklyn,Private room,249,3,60
Brooklyn,Private room,299,3,60
Brooklyn,Private room,179,3,81
Brooklyn,Private room,599,3,60
Brooklyn,Entire home/apt,110,1,0
Brooklyn,Entire home/apt,220,2,297
Brooklyn,Private room,89,30,91
Brooklyn,Entire home/apt,170,2,315
Brooklyn,Private room,98,4,288
Brooklyn,Entire home/apt,125,30,218
Brooklyn,Private room,48,90,1
Brooklyn,Private room,64,3,117
Brooklyn,Entire home/apt,154,3,0
Brooklyn,Entire home/apt,139,3,204
Brooklyn,Entire home/apt,70,7,0
Brooklyn,Entire home/apt,130,3,1
Brooklyn,Entire home/apt,92,4,27
Brooklyn,Entire home/apt,145,3,15
Brooklyn,Entire home/apt,185,180,0
Brooklyn,Private room,99,2,98
Brooklyn,Private room,48,90,0
Brooklyn,Entire home/apt,110,4,354
Brooklyn,Entire home/apt,147,15,189
Brooklyn,Private room,60,2,347
Brooklyn,Entire home/apt,290,30,0
Brooklyn,Private room,50,3,158
Brooklyn,Private room,45,15,88
Brooklyn,Private room,34,10,216
Brooklyn,Private room,190,1,365
Brooklyn,Private room,75,2,365
Brooklyn,Entire home/apt,93,4,312
Brooklyn,Private room,60,5,33
Brooklyn,Private room,65,5,0
Brooklyn,Private room,60,4,303
Brooklyn,Entire home/apt,88,5,0
Brooklyn,Private room,60,2,161
Brooklyn,Entire home/apt,110,3,28
Brooklyn,Entire home/apt,135,5,317
Brooklyn,Entire home/apt,165,3,80
Brooklyn,Entire home/apt,127,180,365
Brooklyn,Entire home/apt,402,3,340
Brooklyn,Private room,75,7,365
Brooklyn,Entire home/apt,70,6,0
Brooklyn,Private room,64,1,0
Brooklyn,Entire home/apt,800,4,257
Brooklyn,Entire home/apt,100,3,5
Brooklyn,Entire home/apt,250,5,0
Brooklyn,Entire home/apt,140,5,0
Brooklyn,Entire home/apt,90,30,286
Brooklyn,Private room,97,3,118
Brooklyn,Entire home/apt,91,6,265
Brooklyn,Private room,125,3,303
Brooklyn,Private room,75,7,0
Brooklyn,Entire home/apt,300,7,354
Brooklyn,Entire home/apt,100,19,6
Brooklyn,Private room,65,4,80
Brooklyn,Private room,47,15,0
Brooklyn,Entire home/apt,110,3,297
Brooklyn,Entire home/apt,100,3,43
Brooklyn,Entire home/apt,300,2,0
Brooklyn,Entire home/apt,140,3,189
Brooklyn,Entire home/apt,120,6,17
Brooklyn,Entire home/apt,175,3,289
Brooklyn,Entire home/apt,275,31,305
Brooklyn,Entire home/apt,189,2,0
Brooklyn,Entire home/apt,250,4,121
Brooklyn,Entire home/apt,120,5,310
Brooklyn,Private room,50,60,74
Brooklyn,Entire home/apt,100,5,0
Brooklyn,Entire home/apt,157,4,12
Brooklyn,Entire home/apt,199,3,84
Brooklyn,Entire home/apt,199,3,84
Brooklyn,Entire home/apt,199,3,56
Brooklyn,Entire home/apt,199,3,62
Brooklyn,Entire home/apt,199,3,81
Brooklyn,Entire home/apt,105,3,0
Brooklyn,Private room,135,28,310
Brooklyn,Entire home/apt,199,3,60
Brooklyn,Private room,125,3,0
Brooklyn,Private room,60,7,0
Brooklyn,Entire home/apt,85,1,0
Brooklyn,Private room,75,2,264
Brooklyn,Private room,44,5,0
Brooklyn,Private room,55,5,0
Brooklyn,Private room,30,3,0
Brooklyn,Private room,35,3,0
Brooklyn,Private room,70,1,363
Brooklyn,Entire home/apt,130,14,25
Brooklyn,Private room,52,2,0
Brooklyn,Private room,75,3,358
Brooklyn,Entire home/apt,100,1,289
Brooklyn,Entire home/apt,130,4,188
Brooklyn,Private room,75,2,168
Brooklyn,Entire home/apt,180,3,242
Brooklyn,Private room,135,3,0
Brooklyn,Private room,65,5,46
Brooklyn,Private room,149,14,364
Brooklyn,Private room,75,3,298
Brooklyn,Entire home/apt,225,4,342
Brooklyn,Private room,100,2,90
Brooklyn,Entire home/apt,135,2,293
Brooklyn,Entire home/apt,89,3,189
Brooklyn,Entire home/apt,120,2,238
Brooklyn,Private room,59,3,284
Brooklyn,Private room,49,4,343
Brooklyn,Private room,79,14,268
Brooklyn,Entire home/apt,185,2,291
Brooklyn,Entire home/apt,225,4,0
Brooklyn,Entire home/apt,325,2,0
Brooklyn,Private room,95,2,79
Brooklyn,Private room,75,2,277
Brooklyn,Entire home/apt,160,3,0
Brooklyn,Private room,180,3,266
Brooklyn,Entire home/apt,165,3,343
Brooklyn,Entire home/apt,500,4,0
Brooklyn,Private room,79,4,52
Brooklyn,Entire home/apt,200,30,0
Brooklyn,Entire home/apt,115,3,333
Brooklyn,Entire home/apt,115,3,327
Brooklyn,Entire home/apt,120,3,349
Brooklyn,Entire home/apt,70,18,0
Brooklyn,Private room,160,5,0
Brooklyn,Entire home/apt,178,30,280
Brooklyn,Entire home/apt,145,14,38
Brooklyn,Entire home/apt,125,5,31
Brooklyn,Private room,77,5,365
Brooklyn,Private room,92,7,332
Brooklyn,Entire home/apt,185,3,0
Brooklyn,Private room,65,4,139
Brooklyn,Private room,72,3,110
Brooklyn,Private room,80,2,0
Brooklyn,Entire home/apt,125,5,0
Brooklyn,Private room,120,5,242
Brooklyn,Private room,94,2,22
Brooklyn,Private room,56,3,0
Brooklyn,Entire home/apt,190,2,0
Brooklyn,Private room,129,3,87
Brooklyn,Entire home/apt,85,5,202
Brooklyn,Entire home/apt,125,4,262
Brooklyn,Entire home/apt,50,30,0
Brooklyn,Private room,70,5,0
Brooklyn,Entire home/apt,159,2,34
Brooklyn,Private room,45,15,242
Brooklyn,Private room,90,2,89
Brooklyn,Entire home/apt,250,3,5
Brooklyn,Entire home/apt,130,30,0
Brooklyn,Entire home/apt,90,30,50
Brooklyn,Entire home/apt,298,30,296
Brooklyn,Private room,123,3,158
Brooklyn,Entire home/apt,88,3,217
Brooklyn,Entire home/apt,145,3,270
Brooklyn,Private room,75,3,330
Brooklyn,Entire home/apt,229,2,321
Brooklyn,Entire home/apt,300,29,312
Brooklyn,Entire home/apt,75,2,2
Brooklyn,Private room,120,6,15
Brooklyn,Entire home/apt,160,5,169
Brooklyn,Entire home/apt,125,30,212
Brooklyn,Entire home/apt,95,5,0
Brooklyn,Private room,119,3,296
Brooklyn,Entire home/apt,500,1,365
Brooklyn,Entire home/apt,87,6,258
Brooklyn,Entire home/apt,160,1,257
Brooklyn,Entire home/apt,90,2,236
Brooklyn,Entire home/apt,250,15,54
Brooklyn,Entire home/apt,130,28,196
Brooklyn,Entire home/apt,190,4,0
Brooklyn,Private room,55,2,57
Brooklyn,Entire home/apt,125,4,10
Brooklyn,Entire home/apt,150,20,247
Brooklyn,Entire home/apt,70,4,273
Brooklyn,Entire home/apt,138,3,189
Brooklyn,Entire home/apt,200,3,291
Brooklyn,Entire home/apt,105,115,219
Brooklyn,Entire home/apt,150,3,73
Brooklyn,Private room,55,150,97
Brooklyn,Entire home/apt,299,20,149
Brooklyn,Entire home/apt,189,7,303
Brooklyn,Entire home/apt,299,2,0
Brooklyn,Private room,90,1,328
Brooklyn,Private room,80,2,353
Brooklyn,Private room,39,5,34
Brooklyn,Private room,55,7,333
Brooklyn,Private room,110,2,0
Brooklyn,Entire home/apt,200,1,0
Brooklyn,Entire home/apt,142,3,222
Brooklyn,Private room,70,2,333
Brooklyn,Entire home/apt,260,2,0
Brooklyn,Private room,59,21,0
Brooklyn,Private room,55,4,195
Brooklyn,Entire home/apt,229,3,319
Brooklyn,Entire home/apt,200,3,67
Brooklyn,Entire home/apt,250,90,311
Brooklyn,Private room,65,7,0
Brooklyn,Entire home/apt,68,2,0
Brooklyn,Entire home/apt,235,3,144
Brooklyn,Entire home/apt,100,3,220
Brooklyn,Private room,55,4,170
Brooklyn,Entire home/apt,165,30,157
Brooklyn,Entire home/apt,145,14,0
Brooklyn,Private room,110,4,330
Brooklyn,Entire home/apt,115,2,0
Brooklyn,Entire home/apt,82,15,311
Brooklyn,Entire home/apt,155,5,0
Brooklyn,Entire home/apt,100,2,0
Brooklyn,Entire home/apt,150,6,0
Brooklyn,Entire home/apt,450,2,30
Brooklyn,Entire home/apt,145,30,342
Brooklyn,Entire home/apt,225,2,225
Brooklyn,Private room,100,2,12
Brooklyn,Private room,55,2,297
Brooklyn,Entire home/apt,142,7,261
Brooklyn,Entire home/apt,350,4,0
Brooklyn,Entire home/apt,300,2,23
Brooklyn,Entire home/apt,105,30,30
Brooklyn,Private room,125,31,331
Brooklyn,Entire home/apt,225,7,0
Brooklyn,Entire home/apt,92,2,0
Brooklyn,Entire home/apt,226,3,38
Brooklyn,Private room,50,2,20
Brooklyn,Private room,200,5,342
Brooklyn,Entire home/apt,68,3,0
Brooklyn,Private room,102,2,361
Brooklyn,Entire home/apt,220,3,68
Brooklyn,Entire home/apt,385,1,363
Brooklyn,Private room,75,7,0
Brooklyn,Entire home/apt,160,4,34
Brooklyn,Entire home/apt,249,3,26
Brooklyn,Private room,80,2,189
Brooklyn,Private room,120,1,292
Brooklyn,Entire home/apt,169,4,323
Brooklyn,Private room,85,3,344
Brooklyn,Private room,90,4,30
Brooklyn,Private room,46,1,362
Brooklyn,Entire home/apt,325,3,203
Brooklyn,Entire home/apt,100,5,0
Brooklyn,Entire home/apt,175,2,64
Brooklyn,Entire home/apt,209,3,160
Brooklyn,Private room,68,2,23
Brooklyn,Private room,49,2,301
Brooklyn,Entire home/apt,349,1,344
Brooklyn,Entire home/apt,96,3,0
Brooklyn,Entire home/apt,120,5,0
Brooklyn,Entire home/apt,800,3,67
Brooklyn,Entire home/apt,349,2,260
Brooklyn,Entire home/apt,125,30,341
Brooklyn,Entire home/apt,350,2,56
Brooklyn,Entire home/apt,150,10,185
Brooklyn,Entire home/apt,180,30,352
Brooklyn,Entire home/apt,99,30,242
Brooklyn,Entire home/apt,150,3,0
Brooklyn,Entire home/apt,90,10,269
Brooklyn,Private room,95,1,0
Brooklyn,Entire home/apt,250,30,292
Brooklyn,Entire home/apt,160,14,0
Brooklyn,Private room,150,4,0
Brooklyn,Private room,89,4,23
Brooklyn,Entire home/apt,375,5,43
Brooklyn,Entire home/apt,200,7,365
Brooklyn,Private room,60,2,0
Brooklyn,Private room,36,10,44
Brooklyn,Entire home/apt,275,5,357
Brooklyn,Entire home/apt,450,2,0
Brooklyn,Entire home/apt,80,7,20
Brooklyn,Entire home/apt,280,7,41
Brooklyn,Entire home/apt,175,3,0
Brooklyn,Private room,90,7,38
Brooklyn,Private room,59,10,0
Brooklyn,Entire home/apt,189,4,1
Brooklyn,Entire home/apt,120,14,0
Brooklyn,Private room,200,3,365
Brooklyn,Private room,69,4,43
Brooklyn,Entire home/apt,135,4,0
Brooklyn,Entire home/apt,90,3,157
Brooklyn,Entire home/apt,135,3,211
Brooklyn,Private room,199,1,365
Brooklyn,Private room,65,20,311
Brooklyn,Entire home/apt,185,1,348
Brooklyn,Entire home/apt,121,2,0
Brooklyn,Private room,152,2,365
Brooklyn,Entire home/apt,250,2,25
Brooklyn,Entire home/apt,104,11,0
Brooklyn,Entire home/apt,120,5,0
Brooklyn,Entire home/apt,90,4,0
Brooklyn,Private room,50,2,0
Brooklyn,Entire home/apt,80,4,245
Brooklyn,Entire home/apt,150,5,0
Brooklyn,Entire home/apt,110,90,330
Brooklyn,Entire home/apt,115,370,365
Brooklyn,Entire home/apt,130,2,0
Brooklyn,Entire home/apt,180,2,264
Brooklyn,Private room,95,1,359
Brooklyn,Private room,60,30,245
Brooklyn,Entire home/apt,133,4,338
Brooklyn,Private room,120,2,102
Brooklyn,Private room,80,7,365
Brooklyn,Entire home/apt,159,2,0
Brooklyn,Private room,50,2,54
Brooklyn,Entire home/apt,155,30,249
Brooklyn,Private room,150,2,72
Brooklyn,Private room,75,5,0
Brooklyn,Entire home/apt,115,4,15
Brooklyn,Entire home/apt,195,2,255
Brooklyn,Entire home/apt,175,3,215
