neighbourhood_group,room_type,price,minimum_nights,availability_365
Manhattan,Entire home/apt,225,1,355
Manhattan,Private room,150,3,365
Manhattan,Entire home/apt,80,10,0
Manhattan,Entire home/apt,200,3,129
Manhattan,Private room,79,2,220
Manhattan,Private room,79,2,0
Manhattan,Entire home/apt,150,1,188
Manhattan,Entire home/apt,135,5,6
Manhattan,Private room,85,2,39
Manhattan,Private room,85,2,333
Manhattan,Entire home/apt,120,90,0
Manhattan,Private room,140,1,12
Manhattan,Entire home/apt,190,7,249
Manhattan,Private room,80,4,0
Manhattan,Entire home/apt,150,10,75
Manhattan,Private room,44,3,311
Manhattan,Entire home/apt,180,14,67
Manhattan,Private room,50,3,355
Manhattan,Private room,52,2,255
Manhattan,Private room,50,3,359
Manhattan,Shared room,40,1,188
Manhattan,Private room,68,2,96
Manhattan,Private room,135,4,273
Manhattan,Entire home/apt,150,7,309
Manhattan,Entire home/apt,151,2,302
Manhattan,Entire home/apt,200,7,257
Manhattan,Private room,110,5,301
Manhattan,Private room,69,2,294
Manhattan,Entire home/apt,180,30,154
Manhattan,Entire home/apt,375,180,180
Manhattan,Entire home/apt,250,2,231
Manhattan,Private room,52,30,191
Manhattan,Private room,80,1,72
Manhattan,Private room,99,1,336
Manhattan,Entire home/apt,225,4,215
Manhattan,Entire home/apt,230,9,116
Manhattan,Private room,51,7,88
Manhattan,Private room,65,2,336
Manhattan,Entire home/apt,190,5,224
Manhattan,Private room,200,1,322
Manhattan,Private room,150,3,295
Manhattan,Entire home/apt,110,31,209
Manhattan,Entire home/apt,285,5,328
Manhattan,Private room,94,30,188
Manhattan,Private room,60,3,26
Manhattan,Private room,50,1,0
Manhattan,Entire home/apt,140,3,198
Manhattan,Private room,89,1,365
Manhattan,Private room,98,30,364
Manhattan,Private room,60,3,219
Manhattan,Private room,65,2,312
Manhattan,Entire home/apt,500,4,243
Manhattan,Private room,100,2,346
Manhattan,Private room,59,2,279
Manhattan,Entire home/apt,140,7,164
Manhattan,Entire home/apt,350,2,298
Manhattan,Entire home/apt,199,5,260
Manhattan,Entire home/apt,235,6,199
Manhattan,Entire home/apt,225,1,299
Manhattan,Entire home/apt,170,2,318
Manhattan,Entire home/apt,170,7,224
Manhattan,Entire home/apt,100,4,0
Manhattan,Entire home/apt,150,5,189
Manhattan,Private room,85,15,307
Manhattan,Entire home/apt,120,3,213
Manhattan,Entire home/apt,185,5,209
Manhattan,Entire home/apt,105,3,16
Manhattan,Private room,130,2,234
