neighbourhood_group,room_type,price,minimum_nights,availability_365
Queens,Private room,130,3,215
Queens,Private room,70,30,324
Queens,Private room,140,2,1
Queens,Private room,79,30,126
Queens,Entire home/apt,350,8,365
Queens,Private room,55,2,365
Queens,Entire home/apt,98,30,240
Queens,Private room,140,7,365
Queens,Entire home/apt,265,7,365
Queens,Entire home/apt,140,2,292
Queens,Entire home/apt,140,14,365
Queens,Entire home/apt,99,5,226
Queens,Entire home/apt,115,2,257
Queens,Private room,80,1,365
Queens,Private room,50,1,88
Queens,Private room,70,27,335
Queens,Entire home/apt,110,4,363
Queens,Entire home/apt,97,3,209
Queens,Entire home/apt,129,1,245
Queens,Private room,42,40,236
Queens,Private room,42,40,246
Queens,Private room,33,44,161
Queens,Entire home/apt,107,30,200
Queens,Entire home/apt,95,30,271
Queens,Private room,75,2,65
Queens,Private room,50,28,287
Queens,Entire home/apt,95,30,358
Queens,Private room,55,1,311
Queens,Private room,75,30,219
Queens,Entire home/apt,75,28,313
Queens,Entire home/apt,79,4,297
Queens,Private room,54,5,365
Queens,Entire home/apt,80,10,40
Queens,Private room,75,4,0
Queens,Private room,73,2,0
Queens,Private room,55,1,0
Queens,Private room,96,2,270
Queens,Private room,85,2,306
Queens,Private room,30,5,0
Queens,Private room,65,2,362
Queens,Entire home/apt,70,5,0
Queens,Entire home/apt,192,3,0
Queens,Private room,55,1,341
Queens,Private room,52,2,326
Queens,Private room,75,1,0
Queens,Shared room,45,1,364
Queens,Private room,75,1,189
Queens,Entire home/apt,215,2,335
Queens,Private room,50,180,0
Queens,Entire home/apt,77,3,85
Queens,Private room,75,5,180
Queens,Private room,69,7,318
Queens,Shared room,39,1,353
Queens,Private room,70,1,340
Queens,Private room,80,3,330
Queens,Private room,85,1,305
Queens,Entire home/apt,107,30,262
Queens,Entire home/apt,350,2,272
Queens,Entire home/apt,70,30,0
Queens,Private room,75,2,317
Queens,Entire home/apt,69,5,4
Queens,Private room,109,30,0
Queens,Entire home/apt,150,3,365
Queens,Entire home/apt,110,5,276
Queens,Private room,55,1,332
Queens,Entire home/apt,54,45,80
Queens,Entire home/apt,92,1,8
Queens,Private room,69,40,207
Queens,Entire home/apt,75,2,0
Queens,Private room,100,3,188
Queens,Private room,55,3,365
Queens,Entire home/apt,99,3,301
Queens,Private room,45,3,365
Queens,Entire home/apt,175,14,0
Queens,Private room,89,1,50
Queens,Private room,52,3,0
Queens,Private room,61,4,335
Queens,Private room,69,1,0
Queens,Private room,75,14,332
Queens,Private room,58,2,365
Queens,Entire home/apt,75,3,0
Queens,Private room,100,2,144
Queens,Private room,65,2,0
Queens,Private room,65,20,188
Queens,Private room,62,1,234
Queens,Entire home/apt,120,3,281
Queens,Private room,68,28,89
Queens,Entire home/apt,120,3,253
Queens,Entire home/apt,120,3,289
Queens,Entire home/apt,245,6,164
Queens,Private room,55,7,46
Queens,Shared room,108,5,0
Queens,Entire home/apt,89,3,0
Queens,Private room,39,30,360
Queens,Entire home/apt,140,5,260
Queens,Private room,80,2,364
Queens,Entire home/apt,390,3,89
Queens,Entire home/apt,299,2,322
Queens,Private room,55,80,119
Queens,Entire home/apt,250,28,88
Queens,Private room,55,2,282
Queens,Private room,69,1,132
Queens,Private room,70,1,303
Queens,Private room,60,1,0
Queens,Entire home/apt,150,14,0
Queens,Private room,45,3,213
Queens,Private room,45,3,208
Queens,Private room,60,3,351
Queens,Entire home/apt,85,2,0
Queens,Private room,57,2,308
Queens,Entire home/apt,400,2,361
Queens,Private room,63,2,249
Queens,Entire home/apt,107,30,268
Queens,Private room,80,3,342
Queens,Private room,60,2,314
Queens,Private room,45,2,292
Queens,Entire home/apt,95,30,0
Queens,Private room,55,1,298
Queens,Entire home/apt,81,1,263
Queens,Private room,70,2,188
Queens,Private room,47,1,0
Queens,Entire home/apt,63,3,256
Queens,Entire home/apt,77,1,168
Queens,Private room,349,1,365
Queens,Private room,76,1,0
Queens,Entire home/apt,115,2,314
Queens,Entire home/apt,99,3,322
Queens,Entire home/apt,85,2,254
Queens,Private room,81,2,326
Queens,Private room,78,4,348
Queens,Entire home/apt,160,3,298
Queens,Private room,75,4,10
Queens,Entire home/apt,130,1,301
Queens,Shared room,38,1,55
Queens,Private room,75,2,333
Queens,Private room,69,7,365
Queens,Private room,46,4,173
Queens,Private room,59,1,322
Queens,Private room,200,1,364
Queens,Entire home/apt,160,2,56
Queens,Entire home/apt,150,30,365
Queens,Private room,70,1,359
Queens,Shared room,60,7,362
Queens,Private room,35,5,250
Queens,Private room,73,1,363
Queens,Private room,133,1,281
Queens,Entire home/apt,175,7,8
Queens,Private room,65,2,332
Queens,Private room,60,1,0
Queens,Private room,55,1,356
Queens,Entire home/apt,119,7,143
Queens,Shared room,50,1,0
Queens,Private room,69,2,124
Queens,Entire home/apt,150,1,358
Queens,Entire home/apt,90,30,298
Queens,Entire home/apt,84,2,345
Queens,Entire home/apt,110,3,14
Queens,Entire home/apt,85,2,0
Queens,Entire home/apt,100,1,33
Queens,Entire home/apt,80,70,198
Queens,Private room,79,2,353
Queens,Entire home/apt,120,3,0
Queens,Private room,80,1,363
Queens,Entire home/apt,145,2,278
Queens,Entire home/apt,100,30,250
Queens,Entire home/apt,138,1,41
Queens,Entire home/apt,70,20,364
Queens,Private room,75,6,180
Queens,Shared room,150,2,365
Queens,Private room,35,4,5
Queens,Private room,59,1,359
Queens,Private room,59,1,359
Queens,Private room,349,1,365
Queens,Private room,59,1,359
Queens,Private room,59,1,359
Queens,Private room,102,5,0
Queens,Entire home/apt,140,2,0
Queens,Entire home/apt,108,4,0
Queens,Entire home/apt,120,2,0
Queens,Private room,59,1,0
Queens,Entire home/apt,250,3,84
Queens,Private room,75,2,365
Queens,Private room,51,1,361
Queens,Entire home/apt,188,2,312
Queens,Private room,48,20,297
Queens,Private room,56,28,310
Queens,Private room,45,4,0
Queens,Private room,59,1,359
Queens,Private room,120,3,365
Queens,Entire home/apt,110,9,362
Queens,Private room,79,1,308
Queens,Private room,35,2,88
Queens,Private room,70,7,140
Queens,Entire home/apt,200,4,157
Queens,Private room,38,30,137
Queens,Private room,195,3,304
Queens,Private room,100,20,182
Queens,Entire home/apt,140,2,20
Queens,Private room,100,3,364
Queens,Entire home/apt,275,7,0
Queens,Private room,86,2,0
Queens,Entire home/apt,95,1,177
Queens,Private room,29,2,50
Queens,Shared room,75,5,19
Queens,Entire home/apt,110,1,147
Queens,Private room,56,5,298
Queens,Private room,73,2,359
Queens,Private room,45,5,250
Queens,Private room,79,1,313
Queens,Private room,66,5,301
Queens,Private room,40,25,0
Queens,Entire home/apt,130,4,347
Queens,Entire home/apt,85,2,230
Queens,Entire home/apt,180,3,254
Queens,Entire home/apt,82,5,0
Queens,Entire home/apt,150,1,148
Queens,Entire home/apt,135,3,243
Queens,Private room,45,3,307
Queens,Entire home/apt,75,30,178
Queens,Entire home/apt,100,3,0
Queens,Entire home/apt,149,3,291
Queens,Private room,72,3,307
Queens,Entire home/apt,325,3,359
Queens,Entire home/apt,100,1,0
Queens,Private room,50,1,0
Queens,Private room,35,7,0
Queens,Private room,50,1,0
Queens,Private room,55,15,255
Queens,Entire home/apt,90,14,0
Queens,Entire home/apt,130,5,0
Queens,Private room,60,1,329
Queens,Entire home/apt,94,7,0
Queens,Entire home/apt,99,2,42
Queens,Entire home/apt,64,3,333
Queens,Entire home/apt,120,3,69
Queens,Private room,47,5,162
Queens,Entire home/apt,65,2,302
Queens,Private room,60,1,184
Queens,Private room,100,29,305
Queens,Private room,100,7,365
Queens,Entire home/apt,65,4,0
Queens,Private room,79,15,238
Queens,Shared room,65,1,0
Queens,Entire home/apt,120,2,81
Queens,Entire home/apt,600,4,0
Queens,Private room,65,2,362
Queens,Shared room,300,1,0
Queens,Entire home/apt,88,3,262
Queens,Entire home/apt,86,1,53
Queens,Private room,59,3,87
Queens,Private room,65,2,146
Queens,Entire home/apt,275,30,342
