neighbourhood_group,room_type,price,minimum_nights,availability_365
Staten Island,Private room,70,2,312
Staten Island,Private room,36,2,360
Staten Island,Private room,37,2,0
Staten Island,Private room,37,2,320
Staten Island,Private room,36,2,340
Staten Island,Private room,80,2,158
Staten Island,Entire home/apt,75,6,278
Staten Island,Entire home/apt,250,2,333
Staten Island,Private room,50,7,189
Staten Island,Entire home/apt,125,2,353
Staten Island,Private room,59,1,352
Staten Island,Private room,20,3,226
Staten Island,Private room,110,2,363
Staten Island,Private room,68,2,88
Staten Island,Entire home/apt,299,3,245
Staten Island,Private room,71,2,352
Staten Island,Private room,54,2,232
Staten Island,Private room,75,30,354
Staten Island,Private room,75,30,362
Staten Island,Entire home/apt,625,4,335
Staten Island,Private room,47,1,323
Staten Island,Entire home/apt,221,30,0
Staten Island,Entire home/apt,190,2,365
Staten Island,Entire home/apt,250,30,0
Staten Island,Entire home/apt,75,3,258
Staten Island,Entire home/apt,700,7,0
Staten Island,Private room,129,1,86
Staten Island,Entire home/apt,75,1,0
Staten Island,Private room,95,2,264
Staten Island,Entire home/apt,175,3,39
Staten Island,Entire home/apt,195,3,204
Staten Island,Private room,56,1,258
Staten Island,Private room,58,3,279
Staten Island,Entire home/apt,70,2,256
Staten Island,Entire home/apt,180,2,263
Staten Island,Entire home/apt,200,2,360
Staten Island,Entire home/apt,99,7,326
Staten Island,Entire home/apt,1000,1,364
Staten Island,Entire home/apt,70,2,231
Staten Island,Private room,85,1,359
Staten Island,Entire home/apt,150,5,299
Staten Island,Private room,49,2,277
Staten Island,Entire home/apt,65,5,336
Staten Island,Entire home/apt,60,4,17
Staten Island,Private room,40,30,354
Staten Island,Entire home/apt,89,4,25
Staten Island,Entire home/apt,105,3,343
Staten Island,Entire home/apt,155,3,0
Staten Island,Private room,49,2,284
Staten Island,Private room,45,30,365
Staten Island,Private room,69,3,172
Staten Island,Entire home/apt,429,2,0
Staten Island,Private room,99,1,325
Staten Island,Entire home/apt,80,2,324
Staten Island,Private room,50,1,0
Staten Island,Entire home/apt,144,1,258
Staten Island,Entire home/apt,75,2,310
Staten Island,Entire home/apt,120,1,333
Staten Island,Private room,300,1,0
Staten Island,Entire home/apt,200,1,0
Staten Island,Private room,48,2,316
Staten Island,Private room,40,2,324
Staten Island,Private room,52,2,340
Staten Island,Entire home/apt,299,3,350
Staten Island,Private room,50,1,276
Staten Island,Private room,35,4,320
Staten Island,Entire home/apt,100,2,0
Staten Island,Private room,110,2,364
Staten Island,Entire home/apt,75,5,155
Staten Island,Private room,100,2,365
Staten Island,Entire home/apt,165,1,298
Staten Island,Private room,40,1,0
Staten Island,Entire home/apt,78,3,300
Staten Island,Private room,72,2,237
Staten Island,Entire home/apt,150,7,83
Staten Island,Entire home/apt,85,2,248
Staten Island,Entire home/apt,105,2,318
Staten Island,Entire home/apt,100,3,88
Staten Island,Entire home/apt,120,1,310
Staten Island,Private room,50,1,0
Staten Island,Entire home/apt,62,1,0
Staten Island,Entire home/apt,100,4,363
Staten Island,Entire home/apt,185,2,0
Staten Island,Entire home/apt,275,4,313
Staten Island,Entire home/apt,275,4,127
Staten Island,Private room,200,1,365
Staten Island,Entire home/apt,125,2,362
Staten Island,Private room,80,1,308
Staten Island,Private room,69,2,355
Staten Island,Entire home/apt,150,1,336
Staten Island,Private room,110,1,337
Staten Island,Private room,70,1,336
Staten Island,Private room,79,2,355
Staten Island,Private room,80,1,358
Staten Island,Entire home/apt,70,5,291
Staten Island,Entire home/apt,65,2,40
Staten Island,Entire home/apt,100,2,36
Staten Island,Private room,49,1,0
Staten Island,Private room,34,4,316
Staten Island,Private room,34,4,347
Staten Island,Private room,33,4,322
Staten Island,Private room,32,4,342
Staten Island,Private room,35,4,323
Staten Island,Private room,32,4,312
Staten Island,Private room,105,1,89
Staten Island,Private room,34,3,159
Staten Island,Private room,55,3,88
Staten Island,Entire home/apt,51,4,15
Staten Island,Private room,55,2,61
Staten Island,Private room,55,2,348
Staten Island,Entire home/apt,75,2,73
Staten Island,Private room,100,3,362
Staten Island,Entire home/apt,60,1,12
Staten Island,Entire home/apt,120,2,191
Staten Island,Entire home/apt,180,2,135
Staten Island,Entire home/apt,65,4,147
Staten Island,Private room,50,1,0
Staten Island,Entire home/apt,180,1,136
Staten Island,Entire home/apt,122,1,219
Staten Island,Private room,49,2,276
Staten Island,Private room,49,2,315
Staten Island,Entire home/apt,75,4,173
Staten Island,Entire home/apt,95,4,0
Staten Island,Private room,89,2,279
Staten Island,Entire home/apt,70,1,230
Staten Island,Entire home/apt,5000,1,344
Staten Island,Entire home/apt,72,4,152
Staten Island,Entire home/apt,289,4,230
Staten Island,Entire home/apt,95,4,134
Staten Island,Private room,65,1,351
Staten Island,Entire home/apt,80,3,50
Staten Island,Private room,55,1,362
Staten Island,Private room,65,1,356
Staten Island,Private room,43,1,89
Staten Island,Private room,50,1,73
Staten Island,Private room,40,1,343
Staten Island,Entire home/apt,49,1,64
Staten Island,Private room,45,2,207
Staten Island,Private room,85,1,0
Staten Island,Entire home/apt,103,3,189
Staten Island,Entire home/apt,85,2,159
Staten Island,Private room,200,3,365
Staten Island,Entire home/apt,91,30,205
Staten Island,Private room,40,2,286
Staten Island,Private room,34,1,78
Staten Island,Private room,83,2,188
Staten Island,Private room,33,4,197
Staten Island,Entire home/apt,135,2,354
